ID,Docstatus,Installation_Date,Customer,Owner,Status,Remarks,Creation,Item_Code,Installed_Qty,Acquisition_Type,Equipment_Type,Maintenance_Interval,Last_Date_Maintained
INST0139,1,2019-01-02,Shai Osudoku District Hospital,patrina.otoo@dcllabx.com,Submitted,Installation and user training completed.,2023-05-04 10:45:26,ND 8,1,Outright,Non- Analyzer,12 Months,2019-01-02
INST0140,1,2019-01-18,KWATIRE POLYCLINIC,patrina.otoo@dcllabx.com,Submitted,"installation and user training completed

Serial Number ; 642217",2023-05-04 10:50:53,A380,1,Retrived,Analyzer,12 Months,2019-01-18
INST0148,1,2019-03-29,Kintampo Health Research Centre,patrina.otoo@dcllabx.com,Submitted,"serial number, BKQ 5011 1812508",2023-05-12 9:57:26,BKQ-B50II,1,Outright,Non- Analyzer,12 Months,2019-03-29
INST0116,1,2019-04-08,The Bank Hospital,patrina.otoo@dcllabx.com,Submitted,serial number'; 18-9613,2023-04-28 10:53:18,6003 542,1,Outright,Analyzer,12 Months,2019-04-08
INST0124,1,2019-05-03,AngloGold Ashanti Health Foundation,patrina.otoo@dcllabx.com,Submitted,"serial number ; 

Installation and user training completed",2023-04-28 12:59:01,AB 5,1,Outright,Non- Analyzer,12 Months,2019-05-03
INST0118,1,2019-08-14,Effia Nkwanta Regional Hospital,patrina.otoo@dcllabx.com,Submitted,"serial number; 18-9625

Installation and user training Completed.",2023-04-28 12:10:40,6003-542,1,Outright,Analyzer,12 Months,2019-08-14
INST0001,1,2019-10-24,Iran Clinic,ernest.boasiako@dcllabx.com,Submitted,DONATION OF XPERT HIV-1 Qual to AURUM PROJECT- GHANA.,2019-10-24 11:23:40,HIV-1 Qual,20,Outright,Non- Analyzer,12 Months,2019-10-24
INST0132,1,2019-11-13,Biriwa Polyclinic,patrina.otoo@dcllabx.com,Submitted,"serial number - 642826

installation and user training completed",2023-04-28 14:36:37,A380,1,Placement,Analyzer,6 Months,2024-04-12
INST0119,1,2019-11-21,Effia Nkwanta Regional Hospital,patrina.otoo@dcllabx.com,Submitted,"serial number; CT-ISE-auto-3214

Installation and user training completed",2023-04-28 12:26:25,Convergys ISE comfort Electrolyte Analyzer M03,1,Placement,Analyzer,6 Months,2023-07-21
INST0002,1,2020-01-16,Anthon Memorial Hospital,michael.frimpong@dcllabx.com,Submitted,Installation was successful,2020-01-21 16:34:16,Micros Pink MC50 Microscope,1,Outright,Non- Analyzer,12 Months,2020-01-16
INST0003,1,2020-02-14,University Hospital,elsie.kafui@dcllabx.com,Submitted,Installation was successful,2020-02-14 16:35:43,UPS,1,Outright,Non- Analyzer,12 Months,2020-02-14
INST0003,1,2020-02-14,University Hospital,elsie.kafui@dcllabx.com,Submitted,Installation was successful,2020-02-14 16:35:43,23020003,1,Outright,Non- Analyzer,12 Months,2020-02-14
INST0004,1,2020-03-24,Goaso Municipal Hospital,elsie.kafui@dcllabx.com,Submitted,"Installation and end user training of A380 
",2020-03-24 11:57:01,A380,1,#,Analyzer,12 Months,2020-03-24
INST0005,1,2020-04-24,Police Hospital,elsie.kafui@dcllabx.com,Submitted,"-Installation and User Training of Selectra Pro-S
-Installation of UPS",2020-04-24 16:44:19,6003-543,1,Outright,Analyzer,12 Months,2020-04-24
INST0150,1,2020-06-23,St. Dominic Hospital,patrina.otoo@dcllabx.com,Submitted,Serial number 05-4892,2023-05-12 10:43:36,NF 800,1,Outright,Non- Analyzer,12 Months,2020-06-23
INST0006,1,2020-06-23,St. Dominic Hospital,elsie.kafui@dcllabx.com,Submitted,Installation and End-User training of NF 800 Centrifuge,2020-06-24 11:36:30,NF 800,1,Outright,Non- Analyzer,12 Months,2020-06-23
INST0007,1,2020-07-06,University of Ghana,elsie.kafui@dcllabx.com,Submitted,Installation was successful,2020-07-06 9:26:31,0-DD- SMARTLYTE,1,Placement,Analyzer,6 Months,2020-07-06
INST0008,1,2020-07-09,Police Hospital,elsie.kafui@dcllabx.com,Submitted,Installation of ISE unit,2020-07-09 10:40:22,S001,1,Placement,Analyzer,6 Months,2020-07-09
INST0009,1,2020-07-10,Shukura Community Hospital,elsie.kafui@dcllabx.com,Submitted,Installation was successful,2020-07-10 16:09:35,A380,1,Retrieved,Analyzer,12 Months,2020-07-10
INST0131,1,2020-07-23,Takoradi (European) Hospital,patrina.otoo@dcllabx.com,Submitted,"serial number; 20-9627


Installation and user training ",2023-04-28 14:31:26,6003 542,1,#,Analyzer,12 Months,2020-07-23
INST0012,1,2020-07-23,Takoradi (European) Hospital,kwame.baah@dcllabx.com,Submitted,Installation and user training successful,2020-08-19 8:59:54,6003-542,1,Placement,Analyzer,6 Months,2020-07-23
INST0010,1,2020-07-29,Rahma Hospital,elsie.kafui@dcllabx.com,Submitted,Installation and User training,2020-07-29 9:25:23,A380,1,Placement,Analyzer,6 Months,2020-07-29
INST0011,1,2020-08-17,University of Ghana,elsie.kafui@dcllabx.com,Submitted,Two medical refrigerators were successfully installed.,2020-08-17 17:12:48,Medical Refrigerator,2,Outright,Non- Analyzer,12 Months,2020-08-17
INST0013,0,2020-08-28,Trust Hospital,michael.frimpong@dcllabx.com,Draft,Installation was successful,2020-08-28 10:37:06,BKM-P24III,1,Outright,Non- Analyzer,12 Months,2020-08-28
INST0014,1,2020-09-10,Agona Swedru Municipal Hospital,kwame.baah@dcllabx.com,Submitted,"Installation of pro s with serial number 20-9625
Parameter programming and printer installation
Report setup
Training of end-users
Running cuvette blank, reagent blank, calibration and controls successful",2020-09-14 9:10:58,6003-543,1,Retrieved,Analyzer,12 Months,2020-09-10
INST0072,1,2020-09-15,Ghana Infectious Disease Centre (GIDC),elsie.kafui@dcllabx.com,Submitted,Installation of 2 Medica EasyBloodgas Analyzers,2022-03-31 15:55:13,Blood Gas Analyzer,2,Outright,Analyzer,12 Months,2020-09-15
INST0015,1,2020-09-15,GA-EAST Infectious Disease Center,elsie.kafui@dcllabx.com,Submitted,Installation was successful,2020-09-16 10:24:07,MEDICA2014,2,Outright,Non- Analyzer,12 Months,2020-09-15
INST0016,1,2020-09-24,Trust Hospital,michael.frimpong@dcllabx.com,Submitted,Installation was successful,2020-09-24 10:02:08,Autoclave Sterilizer Machine (23L),1,Outright,Non- Analyzer,12 Months,2020-09-24
INST0017,1,2020-09-24,Agona Swedru Municipal Hospital,elsie.kafui@dcllabx.com,Submitted,Installation and user training of Smartlyte plus electrolyte analyser,2020-09-24 10:12:20,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2020-09-24
INST0018,1,2020-10-27,University of Health and Allied Sciences,elsie.kafui@dcllabx.com,Submitted,Installation was successful,2020-10-27 7:31:09,rayto RT-2204C,1,Outright,Analyzer,12 Months,2020-10-27
INST0019,1,2020-11-18,Trust Hospital,elsie.kafui@dcllabx.com,Submitted,Installation of Merling -86 ultra low freezer,2020-11-18 17:11:42,DW-HL340,1,Outright,Non- Analyzer,12 Months,2020-11-18
